Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/01/2025,AQS,60870007,3,7.3,ug/m3 LC,41,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/02/2025,AQS,60870007,3,6.2,ug/m3 LC,34,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/03/2025,AQS,60870007,3,5.6,ug/m3 LC,31,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/04/2025,AQS,60870007,3,5.5,ug/m3 LC,31,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/05/2025,AQS,60870007,3,7.2,ug/m3 LC,40,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/06/2025,AQS,60870007,3,6.2,ug/m3 LC,34,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/07/2025,AQS,60870007,3,1.7,ug/m3 LC,9,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/08/2025,AQS,60870007,3,4.8,ug/m3 LC,27,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/09/2025,AQS,60870007,3,5.6,ug/m3 LC,31,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/10/2025,AQS,60870007,3,5.2,ug/m3 LC,29,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/11/2025,AQS,60870007,3,3.3,ug/m3 LC,18,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/12/2025,AQS,60870007,3,3.6,ug/m3 LC,20,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/13/2025,AQS,60870007,3,5.1,ug/m3 LC,28,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/14/2025,AQS,60870007,3,4.5,ug/m3 LC,25,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/15/2025,AQS,60870007,3,6.5,ug/m3 LC,36,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/16/2025,AQS,60870007,3,4.3,ug/m3 LC,24,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
