latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.56269,-123.69317,324.13,0.39,0.36,2025-03-01,1012,N20,VIIRS,n,2,281.59,3.24,N,0
40.56345,-123.6977,319.53,0.39,0.36,2025-03-01,1012,N20,VIIRS,n,2,277.94,2.23,N,0
39.6869,-121.85736,295.6,0.43,0.38,2025-03-01,1012,N20,VIIRS,n,2,280.26,0.43,N,0
39.89914,-123.30003,308.64,0.4,0.37,2025-03-01,1012,N20,VIIRS,n,2,280.3,0.89,N,0
39.21783,-122.30177,301.19,0.43,0.38,2025-03-01,1013,N20,VIIRS,n,2,279.93,1,N,0
39.21442,-122.30279,306,0.43,0.38,2025-03-01,1013,N20,VIIRS,n,2,280.35,1.17,N,0
38.97587,-122.05805,296.8,0.44,0.38,2025-03-01,1013,N20,VIIRS,n,2,280.66,0.52,N,0
38.91222,-122.07409,308.73,0.44,0.38,2025-03-01,1013,N20,VIIRS,n,2,281.42,1.24,N,0
38.9113,-122.06914,307.45,0.44,0.38,2025-03-01,1013,N20,VIIRS,n,2,281.31,0.83,N,0
38.31588,-121.83328,298.46,0.45,0.39,2025-03-01,1013,N20,VIIRS,n,2,281.53,0.61,N,2
38.07278,-122.14139,299.71,0.44,0.39,2025-03-01,1013,N20,VIIRS,n,2,286.49,1.58,N,2
37.88197,-121.18413,302.01,0.48,0.4,2025-03-01,1013,N20,VIIRS,n,2,280.65,0.53,N,2
37.7571,-121.65826,296.61,0.47,0.39,2025-03-01,1013,N20,VIIRS,n,2,282.57,0.62,N,0
37.45664,-121.93284,302.71,0.46,0.39,2025-03-01,1013,N20,VIIRS,n,2,278.27,0.54,N,2
36.97086,-120.25391,309.33,0.55,0.43,2025-03-01,1013,N20,VIIRS,n,2,264.07,1.97,N,0
35.0839,-118.93285,335.03,0.62,0.72,2025-03-01,1953,N20,VIIRS,n,2,302.06,4.25,D,0
35.07427,-119.06211,338.36,0.63,0.72,2025-03-01,1953,N20,VIIRS,n,2,299.79,9.51,D,0
35.07239,-119.06852,345.3,0.63,0.72,2025-03-01,1953,N20,VIIRS,n,2,300.46,9.19,D,0
35.08326,-118.93368,336.71,0.62,0.72,2025-03-01,1953,N20,VIIRS,n,2,301.66,5.16,D,0
35.07302,-119.06239,338.86,0.63,0.72,2025-03-01,1953,N20,VIIRS,n,2,299.42,5.52,D,0
35.07111,-119.0688,338.94,0.63,0.72,2025-03-01,1953,N20,VIIRS,n,2,300.03,5.52,D,0
35.5015,-119.30007,327.64,0.63,0.72,2025-03-01,1953,N20,VIIRS,n,2,295.71,4.27,D,0
35.48812,-120.23472,327.03,0.71,0.75,2025-03-01,1953,N20,VIIRS,n,2,297.12,2.9,D,0
35.4898,-120.23392,333.4,0.71,0.75,2025-03-01,1953,N20,VIIRS,n,2,297.29,3.67,D,0
36.62474,-119.73435,328.26,0.62,0.71,2025-03-01,1954,N20,VIIRS,n,2,294.88,1.67,D,0
40.45205,-122.25777,350.7,0.64,0.72,2025-03-01,1955,N20,VIIRS,n,2,294.32,7.32,D,0
40.45043,-122.25722,333.34,0.64,0.72,2025-03-01,1955,N20,VIIRS,n,2,293.36,3.76,D,0
40.45661,-122.26059,335.48,0.64,0.72,2025-03-01,1955,N20,VIIRS,n,2,292.67,4.22,D,0
41.46943,-120.15833,354.75,0.47,0.64,2025-03-01,1955,N20,VIIRS,n,2,285.85,6.2,D,0
35.07276,-119.06612,333.82,0.62,0.54,2025-03-01,2133,N20,VIIRS,n,2,305.68,12.95,D,0
35.07225,-119.07312,345.67,0.62,0.54,2025-03-01,2133,N20,VIIRS,n,2,311.19,12.95,D,0
35.7366,-120.57873,340.66,0.52,0.5,2025-03-01,2133,N20,VIIRS,n,2,297.61,3.95,D,0
36.45359,-120.91118,349.43,0.51,0.49,2025-03-01,2134,N20,VIIRS,n,2,292.12,8.38,D,0
38.42405,-120.48346,338.05,0.56,0.52,2025-03-01,2134,N20,VIIRS,n,2,291.96,5.08,D,0
38.40984,-122.25226,341.48,0.45,0.47,2025-03-01,2134,N20,VIIRS,n,2,294.83,7.89,D,0
38.41202,-122.24939,329.94,0.45,0.47,2025-03-01,2134,N20,VIIRS,n,2,292.88,4.41,D,0
