latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.56129,-123.69833,325.36,0.51,0.41,2025-03-01,949,N,VIIRS,n,2,278.71,3.05,N,0
39.89876,-123.30086,296.86,0.48,0.4,2025-03-01,950,N,VIIRS,n,2,280.87,0.61,N,0
39.21917,-122.30009,297.97,0.44,0.38,2025-03-01,950,N,VIIRS,n,2,280.52,0.36,N,0
39.21565,-122.30085,302.76,0.44,0.38,2025-03-01,950,N,VIIRS,n,2,280.71,0.61,N,0
39.21214,-122.30161,296.5,0.44,0.38,2025-03-01,950,N,VIIRS,n,2,280.27,0.61,N,0
38.92088,-120.69349,299.56,0.4,0.37,2025-03-01,950,N,VIIRS,n,2,279.58,0.23,N,0
39.05283,-122.03981,295.26,0.43,0.38,2025-03-01,950,N,VIIRS,n,2,280.32,0.48,N,0
38.97578,-122.05813,296.89,0.43,0.38,2025-03-01,950,N,VIIRS,n,2,280.97,0.56,N,0
38.94128,-122.04026,299.4,0.43,0.38,2025-03-01,950,N,VIIRS,n,2,280.39,0.56,N,0
38.90953,-122.07372,314.41,0.43,0.38,2025-03-01,950,N,VIIRS,n,2,281.09,2.07,N,0
38.90889,-122.06882,302.17,0.43,0.38,2025-03-01,950,N,VIIRS,n,2,280.86,0.82,N,0
38.51361,-121.19212,295.18,0.4,0.37,2025-03-01,950,N,VIIRS,n,2,281.56,0.51,N,0
37.96597,-121.0229,304.56,0.4,0.37,2025-03-01,950,N,VIIRS,n,2,279.62,0.76,N,0
38.07021,-122.13844,304.88,0.42,0.38,2025-03-01,950,N,VIIRS,n,2,289.02,1.29,N,2
38.02675,-122.06082,295.07,0.42,0.38,2025-03-01,950,N,VIIRS,n,2,284.53,1.11,N,0
37.94976,-122.40125,298.31,0.43,0.38,2025-03-01,950,N,VIIRS,n,2,286.96,1,N,2
37.7558,-121.65936,298.99,0.41,0.37,2025-03-01,950,N,VIIRS,n,2,282.94,0.65,N,2
37.45498,-121.9324,310.03,0.41,0.37,2025-03-01,950,N,VIIRS,n,2,281.14,1.1,N,2
37.18275,-121.67852,296.85,0.4,0.37,2025-03-01,950,N,VIIRS,n,2,279.2,0.51,N,2
36.96775,-120.25294,328.01,0.39,0.36,2025-03-01,950,N,VIIRS,n,2,269.2,2.66,N,0
36.51014,-119.92474,303.7,0.38,0.36,2025-03-01,950,N,VIIRS,n,2,280.71,0.51,N,0
35.07999,-118.93686,335.34,0.45,0.39,2025-03-01,2110,N,VIIRS,n,2,304.15,3.3,D,0
35.07074,-119.0717,347.86,0.45,0.39,2025-03-01,2110,N,VIIRS,n,2,311.91,8.22,D,0
35.07493,-119.0674,341.75,0.45,0.39,2025-03-01,2110,N,VIIRS,n,2,309.68,12.63,D,0
35.07431,-119.07233,348.9,0.45,0.39,2025-03-01,2110,N,VIIRS,n,2,321.34,41.89,D,0
35.50484,-119.30305,332.58,0.44,0.39,2025-03-01,2110,N,VIIRS,l,2,305.98,2.64,D,0
35.48896,-120.23373,332.96,0.41,0.37,2025-03-01,2110,N,VIIRS,n,2,298.73,2.12,D,0
35.73786,-120.58134,346.36,0.41,0.37,2025-03-01,2111,N,VIIRS,n,2,302.1,3.93,D,0
36.32524,-120.27065,335.56,0.42,0.38,2025-03-01,2111,N,VIIRS,n,2,305.69,1.25,D,0
36.62326,-119.73557,334.81,0.44,0.38,2025-03-01,2111,N,VIIRS,n,2,301.49,1.25,D,0
36.78626,-120.00697,332.58,0.43,0.38,2025-03-01,2111,N,VIIRS,l,2,305.17,2.43,D,0
36.9055,-119.99868,334.22,0.43,0.38,2025-03-01,2111,N,VIIRS,n,2,303.59,2.54,D,0
36.94474,-120.17271,331.13,0.43,0.38,2025-03-01,2111,N,VIIRS,l,2,302.01,4.17,D,0
37.73446,-120.84412,330.87,0.42,0.37,2025-03-01,2111,N,VIIRS,n,2,294.36,3,D,0
37.7794,-120.82434,335.28,0.42,0.37,2025-03-01,2111,N,VIIRS,n,2,295.37,3.73,D,0
37.78566,-120.8305,331.09,0.42,0.37,2025-03-01,2111,N,VIIRS,n,2,295.71,2.49,D,0
37.92809,-120.28175,325.96,0.43,0.38,2025-03-01,2111,N,VIIRS,n,2,296.4,1.3,D,0
38.42696,-120.48244,347,0.43,0.38,2025-03-01,2111,N,VIIRS,n,2,295.89,7.66,D,0
38.38204,-122.4308,330.88,0.39,0.36,2025-03-01,2111,N,VIIRS,n,2,291.62,3.04,D,0
38.41069,-122.253,342.86,0.39,0.36,2025-03-01,2111,N,VIIRS,n,2,297.97,5.3,D,0
38.46846,-122.03783,327.66,0.4,0.37,2025-03-01,2111,N,VIIRS,n,2,294.99,3.8,D,0
38.48737,-121.97649,339.9,0.4,0.37,2025-03-01,2111,N,VIIRS,n,2,295.56,4.42,D,0
38.47171,-122.2112,332.55,0.39,0.36,2025-03-01,2111,N,VIIRS,n,2,296.21,8.58,D,0
38.47109,-122.21559,339.42,0.39,0.36,2025-03-01,2111,N,VIIRS,n,2,295.82,8.58,D,0
38.53545,-121.95446,331.74,0.4,0.37,2025-03-01,2111,N,VIIRS,n,2,295.32,3.6,D,0
38.53555,-121.95792,333.61,0.4,0.37,2025-03-01,2111,N,VIIRS,n,2,294.65,5.2,D,0
38.55087,-122.02238,334.1,0.4,0.37,2025-03-01,2111,N,VIIRS,n,2,296.82,3.48,D,0
38.59663,-121.89169,332.28,0.4,0.37,2025-03-01,2111,N,VIIRS,n,2,294.38,3.32,D,0
38.596,-121.89626,328.19,0.4,0.37,2025-03-01,2111,N,VIIRS,n,2,292.61,3.32,D,0
38.59573,-122.02312,335.35,0.4,0.37,2025-03-01,2111,N,VIIRS,n,2,299.97,10.9,D,0
38.5951,-122.02766,328.72,0.4,0.37,2025-03-01,2111,N,VIIRS,n,2,296.14,10.9,D,0
38.74188,-122.61594,333.32,0.39,0.36,2025-03-01,2111,N,VIIRS,n,2,295.06,3.03,D,0
39.03361,-120.93513,330.58,0.42,0.38,2025-03-01,2112,N,VIIRS,n,2,297.18,2.9,D,0
39.59131,-121.40522,325.82,0.41,0.37,2025-03-01,2112,N,VIIRS,n,2,295.96,2.45,D,0
40.00525,-123.35628,343.48,0.39,0.36,2025-03-01,2112,N,VIIRS,n,2,297.29,27.12,D,0
38.97685,-122.05963,296.66,0.46,0.47,2025-03-02,931,N,VIIRS,n,2,280.95,0.55,N,0
38.07229,-122.14135,298.64,0.45,0.47,2025-03-02,931,N,VIIRS,n,2,285.67,1.74,N,2
